INDEX,Discount,Profit
0,0.2,5.5512
1,0.8,-5.487
2,0.2,4.2717
3,0.2,-64.7748
4,0.2,4.884
5,0.0,746.4078
6,0.0,1.4796
7,0.0,5.2398
8,0.0,274.491
9,0.0,0.3112
10,0.0,3.0084
11,0.0,9.3312
12,0.0,204.1092
13,0.0,113.6742
14,0.6,-53.7096
15,0.8,-18.2525
16,0.2,1.168
17,0.2,9.75
18,0.0,21.2954
19,0.0,1.3583
20,0.0,3.0814
21,0.15,3.9294
22,0.0,87.3504
23,0.0,6.567
24,0.7,-2.5212
25,0.0,2.7072
26,0.0,25.47
27,0.0,5.3392
28,0.2,13.0928
29,0.0,34.3548
30,0.0,238.653
31,0.0,258.696
32,0.5,-53.2856
33,0.0,65.978
34,0.2,28.5984
35,0.7,-13.6312
36,0.2,10.1493
37,0.4,-31.05
38,0.2,6.4864
39,0.7,-320.597
40,0.7,-23.716
41,0.2,36.693
42,0.2,19.6224
43,0.0,224.2674
44,0.0,4.8609
45,0.0,30.0234
46,0.0,11.58
47,0.0,5.79
48,0.1,93.5816
49,0.0,6.6584
50,0.0,1.7901
51,0.0,12.7368
52,0.0,8.9535
53,0.7,-51.5154
54,0.0,13.365
55,0.0,10.9698
56,0.0,9.2928
57,0.0,4.0542
58,0.0,15.9792
59,0.0,181.9818
60,0.2,4.1028
61,0.0,10.45
62,0.0,3.79
63,0.0,13.19
64,0.0,3.11
65,0.0,58.66
66,0.0,0.0
67,0.0,19.2384
68,0.0,39.7488
69,0.0,4.4712
70,0.0,30.7818
71,0.0,5.0196
72,0.0,8.34
73,0.0,9.3312
74,0.0,0.0
75,0.0,52.6344
76,0.0,0.0
77,0.2,-16.65
78,0.0,12.0252
79,0.0,14.3075
80,0.2,1.3257
81,0.0,4.752
82,0.0,6.8982
83,0.15,3.4196
84,0.0,206.316
85,0.7,-12.224
86,0.0,5.8045
87,0.2,13.572
88,0.2,4.3134
89,0.2,27.248
90,0.2,6.0368
91,0.2,29.0136
92,0.0,16.0928
93,0.8,-14.7708
94,0.0,7.2
95,0.0,42.0355
96,0.0,42.0186
97,0.0,9.744
98,0.0,49.6048
99,0.0,5.5328
